audio_path,transcript
TheDirection_1_36_122632_126929.wav,صحيح متى تقارن، اتشوف مشاكل الناس وتحدياتهم تقول أنا اللي عندي ولا شي.
TheDirection_1_37_126929_127439.wav,ولا شي.
TheDirection_1_38_127439_132550.wav,ال[background] مالك من من حيث ال-الدراسه شو شو دارس أبو بطي؟ 
TheDirection_1_39_132550_135102.wav,هذي قصه طويله يا أبو عبد العزيز.
TheDirection_1_40_135102_136461.wav,احنا اليوم ياين نسمع القصه.
TheDirection_1_41_136461_147347.wav,اليوم الله يسلمك، بدايه الدراسه كانت في الفين واثناش اللي هي بدايه دراسه قصدي البكالوريوس .
TheDirection_1_42_147347_158446.wav,تخرجت من العين في ألفين وواحد، وتم ابتعاثنا بفضل الله إلى أيرلندا لدراسه الطب.
TheDirection_1_43_158446_159812.wav,ما شا الله.
TheDirection_1_44_159812_160535.wav,هذا في بدايه.
TheDirection_1_45_160535_167814.wav,أول مقابله ييت بتقولي هاي المعلومه قلتلك الحين بنسجل بعدين أنا ما كنت أعرف هاي المعلومه هاي جبل.
TheDirection_1_46_167814_182487.wav,الحين بنقول لكم إياها، وهذه يعني على ما فيها من تعب و و ساعات الواحد يحس إن [he lost] أو أو أو ما نجح أو أو تعثر. 
TheDirection_1_47_182487_189753.wav,على ما فيها من خبره، على ما فيها من معرفه، على ما فيها من .
TheDirection_1_48_189753_198279.wav,هي أثرت شخصيتك، مثل ما يوم سألتني منو محمد المطوع اليوم؟ محمد المطوع لولا هاي التجربه يمكن يكون شخص ثاني.
TheDirection_1_49_198279_198898.wav,صح صح.
TheDirection_1_50_198898_207510.wav,شخصيه مختلفه تمامًا، فا ألفين وواحد طلعت على أيرلندا لدراسه الطب.
TheDirection_1_51_207510_217062.wav,طبعًا كان اختياري ولكن خلينا نجول كان في توجيه، بشكل عام من ال- ال- الأسره إنه أدرس طب، الحمد لله كانت النسبه عالي.
TheDirection_1_52_217062_220821.wav,وهم الله يحفظهم دومًا يبون يا دكتور، يا مهندس غيره ما شي.
TheDirection_1_53_220821_229755.wav,بالظبط، الله يحفظهم ويطول أعمارهم إن شا الله ويرحم موتانا وموتى المسلمين.
TheDirection_1_54_229755_235839.wav,زين فكان فيه تشجيع من الأهل إنه ادرس طب وأنت كنت متقبل هاي الفكره وتباها.
TheDirection_1_55_235839_236596.wav,متقبل هاي الفكره.
TheDirection_1_56_236596_237572.wav,والنسبه كانت زينه.
TheDirection_1_57_237572_245969.wav,النسبه كانت عاليه تشجع فا شو شو ال [most challenging field] اللي أقدر أنا أدخل فيه و أرجع أفيد هاي البلاد؟ . 
TheDirection_1_58_245969_257519.wav,روحت درست الطب أول سنه، ثاني سنه، ثالث سنه بديت أحس إنه أنا شو شو اللي ورطني في هالشغله هاي [this’s not my field]. 
TheDirection_1_59_257519_259114.wav,[okay] ثالث سنه.
TheDirection_1_60_259114_268591.wav,ثالث سنه، ولكن ثالث سنه أنت تقول لا [wait] يعني أنت الحين قطعت مشوار فا[?Do you go back]إحنا ثلاث سنين.
TheDirection_1_61_268591_270863.wav,مده الدراسه كلها ست سنوات يعتبر.
TheDirection_1_62_270863_283771.wav,أكثر هي سبع سنوات و لكن أنا أخذت مني سنه زياده صارت تعثرت في سنه لظروف خاصه، فا كان باجي لي المهم كملت.
TheDirection_1_63_283771_284549.wav,ثلاث سنين.
TheDirection_1_64_284549_291359.wav,ثلاث سنين، رابع سنه بدأ عندنا ال- ال[clinical years] اللي هي تداوم في المستشفى. 
TheDirection_1_65_291359_297643.wav,هني محمد قال لا [this's not what i wanna do] أنا برجع.
TheDirection_1_66_297643_309751.wav,طبعا كان فيه ضغط إنه لا استمر كمل، يا جماعه، طبعا خلال السنوات كان في ضغط، يعني أقول برجع بضرب [uturn] يقولوا لي لا كمل خلاص أنت الحين وصلت نص الدرب. 
TheDirection_1_67_309751_316580.wav,تعرف سبحان الله أقولهم الإحساس كأنه أنت تقول في خاطرك أنا كنت أقول في خاطري أنا وجهتي أبو ظبي.
TheDirection_1_68_316580_328478.wav,لكن أنا ضارب خط العين، فا حتى ربعي يوم الشباب اللي كانوا معانا يقولوا لك الحمد لله خلصنا سنه، أنا أقول والله أنا أحس إني تأخرت سنه. 
TheDirection_1_69_328478_329712.wav,سبحان الله.
TheDirection_1_70_329712_330582.wav,لهاي الدرجه.
TheDirection_1_71_330582_333273.wav,أنت ماشي في في مسار أنت تحس. 
TheDirection_1_72_333273_335671.wav,أنت تحس إنه م- مش مجالك. 
TheDirection_1_73_335671_351300.wav,فسبحان الله الخيار كان وايد صعب تقريبًا في سنه ألفين و سبعه، بحول بعثه برجع أدرس، أرجع أكمل طب في البلاد بشتغل وبكمل [part time].
TheDirection_1_75_351316_359452.wav,[My passion was architecture] من البدايه، أنا كنت أعرف هالشي [I was] يعني كيف أقولك [I was fascinated by architecture].
TheDirection_1_76_359452_377205.wav,تعجبني ال- المباني والهذا حتى كنت أنزل [simcity] إذا تتذكر وأيلس أسوي وأخطط، لكن سبحان الله الواحد أحيانًا، اتغيب عنه الفكره خلاص يعني يقول أنا قررت بمشي بهالطريج، هذا هو درب. 
TheDirection_1_78_377211_389938.wav,في ألفين وسبعه وصل حدي خلاص أنا لازم أرجع، الأهل شوي اتقبلوا الفكره إن خلاص الريال [surious] هالمره سرت عند عمي قلت له أنا برجع و بشتغل.
TheDirection_1_79_389938_404543.wav,أنا أبى أدرس هندسه بس ما في أريد أعيد خمس سنين خلاص، ربعي اللي وياي، اللي درس ماجستير وخلص، اللي داوم، اللي عرس ما شاء الله اللي كذا، فأنا أبى الحق الركب بدفعتي.
TheDirection_1_81_404570_404977.wav,صح
TheDirection_1_82_404977_412906.wav,كان عمري أربعه وعشرين، خمسه وعشرين سنه يعني، اللي في سني داوموا وأسسوا أمورهم ورتبوا حياتهم. 
TheDirection_1_83_412906_421024.wav,فقالي شوف تبى شغل؟ بنشغلك بنوعيك من الساعه سته الصبح تيجي تشتغل.
TheDirection_1_84_421024_436867.wav,لكن شغله أنت تطالع الساعه متى أخلصها؟ تفريت اللي فيها قلت خلاص، بس أنا ما أباها، قال هاي الشغله ما تباها لعمرك. هذي تمت اتزن في راسي ما قدرت إني يعني أتغاضى عنها. 
TheDirection_1_86_436869_446038.wav,ورجعت، طبعًا كنت ما بين إنه استكمال البعثه، أو دراسه الهندسه بجامعه الإمارات.
TheDirection_1_87_446038_456416.wav,فكنت أخاطب الوزاره أقولهم خلاص حولوني أنا إلى تخصص آخر، قالوا بنحولك، إذا بنحولك بنحولك طب قلت لهم أنا ما أبغي طب أنا.
TheDirection_1_88_456416_456953.wav,خلاص.
TheDirection_1_89_456953_463866.wav,جامعه الإمارات يوميت قالولي أنت شهادتك قديمه، أنت يا تعيد الثانويه ما نقدر نقبلك كمستجد. 
TheDirection_1_90_463866_472525.wav,أو تعيد ال- أو يكون عندك [transfer credit] وأنت ما عندك أنت طب دارس وتبغى تدخل هندسه شو بنحول لك؟
TheDirection_1_91_472525_480861.wav,"[Biochemistry, pharmacology] وهني [physics]و [Materials] والأمور هاي."
TheDirection_1_92_480861_496252.wav,فسبحان الله ربك ربك يوم يبى ييسر ال-الموضوع استوت لجنه وطلعوا مثل قرار إنه أي واحد يستكمل دراسه خارج البلاد لمده سنتين يعفى من المواد اللي هي التعليم الأساسي يسمونها في جامعه الإمارا.
TheDirection_1_93_496252_496758.wav,[okay].
TheDirection_1_94_496758_502847.wav,وتعادل أربعه وعشرين، سته وعشرين ساعه [which will get you through] تدخلك الكليه. 
TheDirection_1_95_502847_503781.wav,ممتاز.
TheDirection_1_96_503781_509153.wav,والحمد لله دخلت الجامعه طبعًا.
TheDirection_1_97_509153_510298.wav,دخلت هندسه معماريه.
TheDirection_1_98_510298_512170.wav,هندسة معمارية [from scratch].
TheDirection_1_99_512170_515248.wav,زين من طب إلى [architecture].
TheDirection_1_100_515248_519881.wav,إلى [architecture]حتى قابلني ال[dean] قبل انقبل.
TheDirection_1_101_519881_526195.wav,يلست وياه نفس هاليلسه بس على طاوله أكبر [dean of admission] أمريكي كان جامعة الإمارات.
TheDirection_1_102_526195_538645.wav,حتى يوم اتصلت لي السكرتيره قالت لي محمد الدين يبى يقابلك، قلت لها يعني هل هذا [part of the process] قالت لا، الصراحه هو يختار حد قلت يلا الله يستر بس شو بيقولي.
TheDirection_1_104_538664_540616.wav,شو أغير من طب ياي لينا نحن.
TheDirection_1_106_551293_564473.wav,نفس ما صار لي مع، جي قالي قولي شو السالفه، فشرحت له قلت له الموضوع واحد اثنين ثلاث ما شفت نفسي في الطب وأنا إن شاء الله بحول [architecture]، قالي محمد قبولك يحتاج إلى استثناء.
TheDirection_1_107_564473_577179.wav,"[and I'm willing to do it for you] كان أمريكي قال [and I'm willing to do it for you but, don't come after two years and tell me this wasn't what I wanted]."
TheDirection_1_108_577179_589693.wav,قلت له[I can assure you this will never happen] قالي [I will keep an eye on your transcript and your progress and go ahead] خلاص إن شاء الله بتنقبل.
TheDirection_1_109_589693_590209.wav,ودخلت.
TheDirection_1_110_590209_592635.wav,وياني الإتصال قالوا لي سير طلع البطاقه ودخلت.
TheDirection_1_111_592635_593319.wav,ما شا الله.
TheDirection_1_112_593319_604237.wav,"طبعا كان [race] أبى أخلص، ست سبع مواد على صيفي ست سبع على صيفي الحمد لله خلصت في [four years and one semester,four years and a half]."
TheDirection_1_115_604298_615549.wav,[okay]، اللهم لك الحمد. فخلصت أنت من دراسه الهندسه المعماريه بعدين بديت مسارك الوظيفي، الحين اليوم ما شاء الله أنت في جهه حكوميه.
TheDirection_1_116_615549_616149.wav,الحمدلله.
TheDirection_1_117_616149_619439.wav,كملت كم سنه الحين في هاي الوظيفه الحاليه؟ 
TheDirection_1_118_619439_621721.wav,الوظيفه الحاليه تقريبًا خمس سنوات.
TheDirection_1_119_621721_632479.wav,عظيم ما شاء الله [very interesting] وايد ما شاء الله ال-المسار أو مشوارك الأكاديمي والوظيف. 
TheDirection_1_120_632479_633782.wav,الحمد لله رب العالمين
TheDirection_1_121_633782_643497.wav,وايد يعني في في أمور وايد إن إحنا نجدر نستنبطها ونتعلم منها لكن أنا اليوم أبى تخبرنا عن مغامرات كرس. 
TheDirection_1_122_643497_645047.wav,مغامرات كرسي.
TheDirection_1_123_645047_654414.wav,الموضوع اللي رمسنا فيه أول يوم يوم تلاقينا، خبرتني عن هال[YouTube channel] واللي لين الحين أنا يعني شايل علىك شويه إنك أنت بس سويت حلقه.
TheDirection_1_124_654414_655430.wav,مقصر فيا شويه نعم.
TheDirection_1_125_655430_662761.wav,مقصر لأن ببطء هل نحنا نقول دايما حتى أنا ومحمد اللي هي أصلًا فكره [the direction podcast].
TheDirection_1_126_662761_663231.wav,صحيح.
TheDirection_1_127_663231_668374.wav,انقول نحنا اليوم المحتوى العربي يحتاج مثل هاي المواضيع.
TheDirection_1_128_668374_668924.wav,أكيد.
TheDirection_1_129_668924_670580.wav,في مختلف المجالات.
TheDirection_1_130_670580_671060.wav,صح.
TheDirection_1_131_671060_684405.wav,والمحتوى اللي أنت تجدمه واللي شفناه في حلقه وحده محتوى رائع جدًا، فعلًا نحنا نحتاج لإن إذا تكتب أنت لو تكتب بالإنجليزي مثلًا بتحصل وايد.
TheDirection_1_133_684421_684742.wav,كثير.
TheDirection_1_135_684756_690473.wav,ملايين من ال- ال- النتايج في البحث اللي أنت بتحطه في [google] بتطلع لك ملايين النتاي.  
TheDirection_1_136_690473_691883.wav,لكن بالعربي ما عندنا وايد.
TheDirection_1_137_691883_692357.wav,صحيح.
TheDirection_1_138_692357_702198.wav,فأباك اتخبرنا عن مغامرات كرسي، شو اللي ياب هالفكره على بالك، شو اللي خلاك أنت تدخل وتسوي هالمحتوى هذا؟
TheDirection_1_139_702198_713470.wav,أكيد، أبو عبد العزيز أول ما استوت لي الإصابه طبعًا استوت لي الاصابه في ألفين وثمان تاش.
TheDirection_1_140_713470_714110.wav,[okay].
TheDirection_1_141_714110_726431.wav,يمكن اتكلمنا وياك ويا الشباب قبل إصابه صارت لي في مسبح، في مسبح المزرعه مزرعتنا يعني   
TheDirection_1_142_726431_741095.wav,نقصت رواسي في المكان الضحل ال- ال- اللي ما في ماي وايد فصار لي كسر في العمود الفقري وسبب لي اللي هو الشلل النصف 
TheDirection_1_143_741095_753935.wav, في  فتره مكوثي في البيت وخلال فتره العلاج في أمريكا أو خليني أتكلم عن مستشفى راشد بتح- بالتحدي 
TheDirection_1_144_753935_766883.wav,أنا ما كنت أعرف يعني، ما كنت مقدر كميه ال- خلينا نقول الضرر اللي صار أو كيف إن الحياه بتتغير اميه وثمانين درجه بالنسبه لك. 
TheDirection_1_145_766883_768066.wav,صح أنت مو مستوعب.
TheDirection_1_146_768066_779701.wav,ما مستوعب بعدني توه الإصابه وبعدني مش مستوعب، فبديت يعني سبحان الله هاي نعمه من رب العالمين بعد، ونحث الناس عليها اليوم المعلومات متوفره.
TheDirection_1_147_779701_784859.wav,واحد بس عليه إنه يدخل ويبحث على الشي اللي يبغي مثل ما تفضلت.
TheDirection_1_148_784859_799761.wav,دخلت جلست أدور مثل ما قلت عن محتوى سواءً عربي إنجليزي اللي هو أبى أعرف شو اللي صاير عندي أنا؟ كيف أنا بتأقلم على الحياه عقب؟ 
TheDirection_1_149_799761_817515.wav,هل فيه [chances to recover] ولا ما في؟ اكثير أمور طبعًا محاور وايد إن شاء الله بنتطرق لها كثير في في مغامرات كرسي كذلك، لكن الجانب الأهم هو كيف أنا أتعامل مع الإصابه هاي شو الأشياء 
TheDirection_1_151_817541_829275.wav,الإصابه ويمكن ناس كثير ما تعرف هي مش اللي أنت، يعني هي مش ال- ال- ال- الإعاقه الجسديه اللي أنت تشوفها فقط 
TheDirection_1_152_829275_843184.wav,في أمور أخرى مرتبطه بالإصابه، تنتج عنها وذكرت إذا بترجع للحلقه في كذا أمور أحيانًا ما حد ينبهك إلها.
TheDirection_1_153_843184_843714.wav,صحيح.
TheDirection_1_154_843714_848853.wav,وما تعرفها، طيب كيف أنا أتعامل؟ أهلي كيف بيتعاملون وياي في هالحاله؟
TheDirection_1_155_848853_864926.wav,شو الأشياء اللي يحتاجونها يوفرونها لل- لي كمصاب؟ أو إذا في أهل المصاب، شو الأشياء اللي لازم يوفروا لي إياها؟ فمثل هذي الأشيا خلتني أفكر يا أخي.
TheDirection_1_157_864958_876775.wav,ويعني مثل ما أنا عانيت خلنا نقول، ما بقول عانيت تعبت في الحصول على المعلومه اللي أنا أبغيها. 
TheDirection_1_158_876775_886272.wav,اللي ممكن اتساعدني إني أنا أتأقلم، أتعلم على ال [transfer]، أتعلم على 
TheDirection_1_159_886272_887595.wav,هذا التغير في حياتك.
TheDirection_1_160_887595_888152.wav,بالظبط.
TheDirection_1_161_888152_891523.wav,كنت عايش في نمط معين، فجأه ها النمط هذا اتغير.
TheDirection_1_163_901029_915263.wav,وممكن ما يكون عندهم ال- ال[tools] أو ال- ال[informations] المناسب اللي يخليهم أو يساعدهم إنهم خلنا نقول يتأقلمون على الإصابه والوضع اللي هم في. 
TheDirection_1_164_915263_932931.wav,الحين ببطئ بعد في حين في في شي وأنا أشوف الحلقه، يعني يه في بالي هالشي، إن نحنا يا جماعه اليوم، يوم محمد المطوع ولا ولا بدر نرمس في هالموضوع هذا ونعطي أفكار نعطي طرق للتعامل، تراها مو بشرط إن. [one size fits all].
TheDirection_1_166_932973_933853.wav,أكيد.
TheDirection_1_167_933853_936316.wav,نحنا مو بدكاتره.
TheDirection_1_168_936316_936766.wav,أكيد.
TheDirection_1_172_941958_942768.wav,تجربه شخصيه.
TheDirection_1_173_942768_959088.wav,أشيا هو سواها في حياته وما شاء الله الأثر واضح يعني الأثر واضح يعني، في في، كل كل الأشياء اللي أنت تمارسها في حياتك الاجتماعيه ويا ربعك، في وظيفتك ف-ا ما شاء الله عليك ناجح ولله الحمد ناجح. 
TheDirection_1_174_959088_959808.wav,اللهم لك الحمد.
TheDirection_1_175_959808_972780.wav,فا- فبالتالي يعني وايد مهم، إن نحنا مثل هاي التجارب نعرضها للناس، لكن هو مب ب[prescription] مب بوصفه حق الكل ، ايه لكن.
TheDirection_1_176_972780_985140.wav,خذ منها اللي اتشوفه مناسب لك، وحور أو أو أو أو برمج ال- المعلومه الثانيه بما يتناسب مع احتياجات. 
TheDirection_1_177_985140_994040.wav,وذكرت سبحان الله هالنقطه بعد وايد مهمه يا أخي ال- الإعداد النفسي للمصاب شو مكان. 
TheDirection_1_178_994040_994667.wav,مهم.
TheDirection_1_181_1010648_1028133.wav,في وايد أمور مرتبطه وأشيا يسويها بشكل يومي مرتبطه بهالصبع كانت تحتاج إلى طريقه هي طريقه مختلفه. يعني في عقال حتى يقول لي حتى في الأكل يعني ساعات لازم أنا  تكون لي طريقه معينه وخذالي وقت لين ما أتأقلم مع الشي هذا.
TheDirection_1_183_1028161_1028971.wav,صحيح.
TheDirection_1_184_1028971_1034986.wav,فالتجربه اللي أنت مريت فيها، زين أنت كنت في أحد المستشفيات.
TheDirection_1_185_1034986_1035369.wav,نعم.
TheDirection_1_186_1035369_1037040.wav,بعدين أعتقد سافرت بره.
TheDirection_1_187_1037040_1037493.wav,نعم.
TheDirection_1_188_1037493_1037768.wav,صح؟
TheDirection_1_189_1037768_1038186.wav,نعم.
TheDirection_1_190_1038186_1051907.wav,زين، يوم سافرت بره عندهم مثلًا أنا اللي كانوا يسوونه مثل علاج طبيعي، وشوفت مثلًا تمارين تحت الماي، وها متل هاي الأمور هاي كلها كانت هل عندهم جانب إعدادك نفسيًا؟ 
TheDirection_1_191_1051907_1052531.wav,أكيد.
TheDirection_1_192_1052531_1056500.wav,عندهم هالجانب، خبرنا عن هالجانب هذا شو اللي عطوك إياه؟
TheDirection_1_193_1056500_1071687.wav,أنت أول ما توصل أصلًا للمستشفى تقريبًا يمرون عليك كافه الدكاتره، دكتور الأعصاب، دكتور الباطنيه، العظام، بالإضافه إلى 
TheDirection_1_194_1071687_1082011.wav,هاي [therapist] اتي تسولف وياك، السلام علىكم بدر خبرني شو اللي استوى وياك [how do you feel about it?] شو تحس؟
TheDirection_1_195_1082011_1095694.wav,كيف تأثر ال- ال- أعضاء العائله عندك بالموضوع؟ شو الجوانب اللي أنت تحس نحن نجدر انساعدك فيها نفسيًا 
TheDirection_1_196_1095694_1107345.wav,وتتكلم وياه أصلًا مجرد الكلام، وإنك أنت تبدا تطلع ال- بعد لأن مرحله صعبه بدر، مرحله جدًا صعبه. 
TheDirection_1_197_1107345_1118340.wav,يعني الإنسان سبحان الله ما يعرف قيمه الشي اللي عنده وقيمه الصحه إلا يوم يفقدها.
TheDirection_1_198_1118340_1129517.wav,فأنت اتشوف تقول يعني أنا [what a loss] في هذاك الوقت، طبعا تحاول إنك أنت [[I will I will try my best to survive 
TheDirection_1_199_1129517_1137823.wav,لكن ما يمنع إن الإنسان يعيش ياخذ وقته في  [grief]
TheDirection_1_200_1137823_1138345.wav,صح.
TheDirection_1_201_1138345_1148512.wav,ياخذ وقته، خذ وقتك، لإنه إذا ما صار إذا ما إذا ما مريت في هالمرحله من ال[grief] قد يكون لك، قد تكون لها آثار عكسيه 
TheDirection_1_202_1148512_1154936.wav,آثارها سيئه جدًا، أنا دومًا أقولها قول يا أخي إذا أنت زعلان تقول أنا زعلان.
TheDirection_1_203_1154936_1155471.wav,[yes].
TheDirection_1_204_1155471_1158028.wav,[show that] بين إنك أنت زعلان.
TheDirection_1_205_1158028_1158418.wav,صحيح.
TheDirection_1_206_1158418_1160338.wav,أنت متضايج، بين إن أنت متضايج.
TheDirection_1_207_1160338_1162984.wav,لا تغش نفسك وتغش الناس حولك.
TheDirection_1_208_1162984_1163297.wav,أبدًا.
TheDirection_1_209_1163297_1172802.wav,خلاص الإنسان عباره عن مشاعر، ترى مره، زعلان مره متضايج، مره فرحان، مره سعيد، مره فا طاقتك تكون فوق مره تنزل.
TheDirection_1_210_1172802_1178739.wav,بس اسوأ شي ممكن إن إحنا نسويه، خاصه في هالمواقف هاي إن أنت تبين لا لا أنا.
TheDirection_1_211_1178739_1179366.wav,أنا بخير.
TheDirection_1_212_1179366_1184693.wav,أنا بخير ما في شي أنا مبتسم وأنا مرتاح لا فعلًا فأنت.
TheDirection_1_213_1184693_1200189.wav,فا مثل ما اتفضلت، المرحله صعبه فكانت هذي ال[therapist] تي تيلس وياك في الأسبوع مره أو مرتين 
TheDirection_1_214_1200189_1201409.wav,كم تميت بره البلاد؟
TheDirection_1_215_1201409_1211165.wav,تميت يا بدر من سبتمبر شهر تسعه تقريبًا إلى شهر اثنين تسعه عشره إحدى عشر يعني أربع، خمس شهور.
TheDirection_1_216_1211165_1225210.wav,أول اثنين رجعت الإمارات الحمد لله تميت طبعا شهرين في المستشفى [inpatient] وعلاج مكثف، علاج طبيعي ،وعلاج تأهيلي يعلمونك كيف تنتقل كيف تسير، كيف اتي؟
TheDirection_1_217_1225210_1243303.wav,بس برجع لنقطه إن أنت لا تبين أو تغش عمرك إنك أنت بخير، وأنت قلت لي ما شاء الله عليك إيجابي وكذا.  فالناس أحيانا اتشوف تقول لك هو ما شا الله عليه محمد يسير و يطلع بخير ما في شي بصحه صح.
TheDirection_1_219_1243372_1252682.wav,و[this exactly] يعني هذا هو بالضبط الشي اللي يحس فيه محمد لما يطلع بره.
TheDirection_1_220_1252682_1260011.wav,لكن ما يعني هذا إن محمد ما يمر في صعوبات ما يمر في.
TheDirection_1_221_1260011_1260847.wav,تحديات خلال اليوم.
TheDirection_1_222_1260847_1273834.wav,تحديات يوميه عرفت علي، لكن إذا ما أقلمت نفسك، ما عديت عمرك نفسيًا لتقبل هذا التغيير بتتعب بتتعب
TheDirection_1_223_1273834_1283358.wav,فمحمد يحاول قدر المستطاع إنه يمر في هاي التحديات اللي يشوفها يوميًا، لأن هاي خطوات إضافيه في كل مرحله.
TheDirection_1_224_1283358_1296291.wav,من أنت يعني من مشيتك، من نقلتك للسياره، من طلعتك منها هاي مثل خطوات إضافيه أنت مو متعود علىها، في البدايه كانت صدمه يعني أنا [I have to do this] ولازم أسوي كذا، ولازم أسوي.
TheDirection_1_225_1296291_1304613.wav,لكن مع الوقت تتعود عليها صعبه، لكن خلاص تجلس تتعود عليها، وتأقلم عمرك عليها الإنسان سبحان الله بطبعه يتأقلم.
TheDirection_1_226_1304613_1305065.wav,صحيح.
TheDirection_1_227_1305065_1307291.wav,يتأقلم، على أي ظرف.
TheDirection_1_228_1307291_1319102.wav,تصدق على إطار التأقلم، على إطار التأقلم بضي اسمح لي على المقاطعه فا، أجول تأكيدًا لهاي المعلومه سبحان الله، إذا ييتك أنا في ألفين وتسعتا.  
TheDirection_1_229_1319102_1328731.wav,وقلت لك محمد شوف طلعه من البيت ماشي، سلام ماشي، مويه ما شي، زيارات ما شي.
TheDirection_1_230_1328731_1339371.wav,زين؟ وأبشرك بعد أجول لك بتلبس كمام ما تتحرك إلا بدون كمام، بدون كمام ماشي ما تروح اتسير مكان من غير كمام بتقول شو تقول أنت؟ مستحي 
TheDirection_1_232_1339426_1340184.wav,سبحان الله.
TheDirection_1_233_1340184_1345449.wav,يزيد وقتها أقولك واتخيل إذا ها الشي هذا استوي بتقول لا مستحيل، بتخبش ما أطلع كيف ما أسير؟
TheDirection_1_234_1345449_1347126.wav,سبحان الله يت الجائحه.
TheDirection_1_235_1347126_1347576.wav,بالظبط.
TheDirection_1_236_1347576_1348796.wav,وجلسنا في بيوتنا.
TheDirection_1_237_1348796_1349041.wav,بالظبط.
TheDirection_1_238_1349041_1354159.wav,وأول فتره كانت صعبه على على الناس حد من الناس اتجول له أنت ما بتطلع بيتخبل. 
TheDirection_1_239_1354159_1354729.wav,أبدًا.
TheDirection_1_240_1354729_1365362.wav,بيجن جنونه مثل ما يقولون، لكن بني آدم سبحان الله يقدر يتأقلم ورد مره ثانيه، يتأقلم حد من الناس تأقلم لدرجه إنه الحين تعال طلعه.
TheDirection_1_241_1365362_1368251.wav,تعال طلعه من البيت الحين ما يبغى يطلع من البيت خلاص.
TheDirection_1_242_1368251_1370600.wav,ما يبغى يطلع فسبحان الله.
TheDirection_1_243_1370600_1372785.wav,وأنا واحد منهم على فكره.
TheDirection_1_244_1372785_1382081.wav,تتأقلم الإنسان سبحان الله يتأقلم، فأنت تقول فعًلا إنه في البدايه الموضوع ممكن يكون وايد صعب، إلين ما تتأقلم.
TheDirection_1_245_1382081_1392704.wav,لكن يبا له متابع مثلًا ذكرت لي أحيانًا في الدوله اللي أنت كنت فيها والمستشفى اللي كنت فيها، كان فيه شخص ييي ويأهلك يقول لك هذا اللي لازم تسويه اتسوي بهالطريقه.
TheDirection_1_246_1392704_1393644.wav,جدًا ضروري.
TheDirection_1_247_1393644_1406669.wav,فالأشياء اللي هي ال- اليوميه اللي جبل اتكون نوعًا ما من الأمور المسلمه بسيطه عادي يتحرك الحين لا يبالها، طريقه ثانيه ممكن تسويها ولكن بطريقه ثاني. 
